,state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
0,Hawaii,HI,Hawaii County,15001,Republican,Donald Trump,955,0.48
1,Hawaii,HI,Hawaii County,15001,Republican,Ted Cruz,562,0.28
2,Hawaii,HI,Hawaii County,15001,Republican,Marco Rubio,232,0.12
3,Hawaii,HI,Hawaii County,15001,Republican,John Kasich,229,0.11
4,Hawaii,HI,Honolulu County,15003,Republican,Donald Trump,3664,0.41
5,Hawaii,HI,Honolulu County,15003,Republican,Ted Cruz,3100,0.34
6,Hawaii,HI,Honolulu County,15003,Republican,Marco Rubio,1261,0.14
7,Hawaii,HI,Honolulu County,15003,Republican,John Kasich,918,0.1
8,Hawaii,HI,Kauai County,15007,Republican,Donald Trump,380,0.43
9,Hawaii,HI,Kauai County,15007,Republican,Ted Cruz,317,0.36
10,Hawaii,HI,Kauai County,15007,Republican,John Kasich,102,0.11
11,Hawaii,HI,Kauai County,15007,Republican,Marco Rubio,80,0.09
12,Hawaii,HI,Maui County,15009,Republican,Donald Trump,678,0.47
13,Hawaii,HI,Maui County,15009,Republican,Ted Cruz,400,0.28
14,Hawaii,HI,Maui County,15009,Republican,Marco Rubio,186,0.13
15,Hawaii,HI,Maui County,15009,Republican,John Kasich,164,0.11
0,Idaho,ID,Ada County,16001,Republican,Ted Cruz,20156,0.4
1,Idaho,ID,Ada County,16001,Republican,Donald Trump,15191,0.3
2,Idaho,ID,Ada County,16001,Republican,Marco Rubio,8074,0.16
3,Idaho,ID,Ada County,16001,Republican,John Kasich,5306,0.11
4,Idaho,ID,Adams County,8001,Republican,Donald Trump,354,0.43
5,Idaho,ID,Adams County,8001,Republican,Ted Cruz,292,0.36
6,Idaho,ID,Adams County,8001,Republican,Marco Rubio,97,0.12
7,Idaho,ID,Adams County,8001,Republican,John Kasich,64,0.08
8,Idaho,ID,Bannock County,16005,Republican,Ted Cruz,4404,0.5
9,Idaho,ID,Bannock County,16005,Republican,Marco Rubio,2017,0.23
10,Idaho,ID,Bannock County,16005,Republican,Donald Trump,1711,0.19
11,Idaho,ID,Bannock County,16005,Republican,John Kasich,494,0.06
12,Idaho,ID,Bear Lake County,16007,Republican,Ted Cruz,643,0.43
13,Idaho,ID,Bear Lake County,16007,Republican,Donald Trump,363,0.24
14,Idaho,ID,Bear Lake County,16007,Republican,Marco Rubio,330,0.22
15,Idaho,ID,Bear Lake County,16007,Republican,John Kasich,92,0.06
16,Idaho,ID,Benewah County,16009,Republican,Ted Cruz,671,0.51
17,Idaho,ID,Benewah County,16009,Republican,Donald Trump,428,0.33
18,Idaho,ID,Benewah County,16009,Republican,Marco Rubio,87,0.07
19,Idaho,ID,Benewah County,16009,Republican,John Kasich,80,0.06
20,Idaho,ID,Bingham County,16011,Republican,Ted Cruz,3471,0.5
21,Idaho,ID,Bingham County,16011,Republican,Marco Rubio,1761,0.25
22,Idaho,ID,Bingham County,16011,Republican,Donald Trump,1191,0.17
23,Idaho,ID,Bingham County,16011,Republican,John Kasich,304,0.04
24,Idaho,ID,Blaine County,16013,Republican,Donald Trump,543,0.35
25,Idaho,ID,Blaine County,16013,Republican,Ted Cruz,370,0.24
26,Idaho,ID,Blaine County,16013,Republican,John Kasich,358,0.23
27,Idaho,ID,Blaine County,16013,Republican,Marco Rubio,238,0.15
28,Idaho,ID,Boise County,16015,Republican,Donald Trump,691,0.43
29,Idaho,ID,Boise County,16015,Republican,Ted Cruz,541,0.34
30,Idaho,ID,Boise County,16015,Republican,Marco Rubio,171,0.11
